"Close Business Day Now","Close Business Day Now"
"Paste %1 here","Paste %1 here"
"or select file on your computer","or select file on your computer"
"Specify this url in the certificate request email","Specify this url in the certificate request email"
"Invalid Mega Bank Config.","Invalid Mega Bank Config."
"An error occurred while creating a payment. Please try again.","An error occurred while creating a payment. Please try again."
"The order amount has changed. Repeat the data entry for the payment.","The order amount has changed. Repeat the data entry for the payment."
"Invalid cron expression: %1","Invalid cron expression: %1"
"Invalid cron expression, expecting 'match/modulus': %1","Invalid cron expression, expecting 'match/modulus': %1"
"Invalid cron expression, expecting numeric modulus: %1","Invalid cron expression, expecting numeric modulus: %1"
"Invalid cron expression, expecting 'from-to' structure: %1","Invalid cron expression, expecting 'from-to' structure: %1"
Sandbox,Sandbox
Production,Production
"Sms (Single Message System)","Sms (Single Message System)"
"Dms (Dual Message System)","Dms (Dual Message System)"
"Can't create api config object","Can't create api config object"
"Business day has been successfully closed","Business day has been successfully closed"
"Unexpected error","Unexpected error"
"Close business day error: %1","Close business day error: %1"
"A payment error has occurred. Please repeat the data entry for the payment.","A payment error has occurred. Please repeat the data entry for the payment."
"Can't find transaction for capture.","Can't find transaction for capture."
"A payment error has occurred. Error: %1. Please try again.","A payment error has occurred. Error: %1. Please try again."
"A payment error has occurred. Operation result: %1. Api error: %2","A payment error has occurred. Operation result: %1. Api error: %2"
"A payment error has occurred. Operation result: %1","A payment error has occurred. Operation result: %1"
"We received your payment data","We received your payment data"
"Place Order","Place Order"
"Pay Order","Pay Order"
"Unexpected payment error. Please try pay again","Unexpected payment error. Please try pay again"
"Mega Bank Payment","Mega Bank Payment"
Enabled,Enabled
Title,Title
Language,Language
"Order Description","Order Description"
"Payment Action","Payment Action"
"Enable debug log","Enable debug log"
Instructions,Instructions
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Sort Order","Sort Order"
"Api Connection Settings","Api Connection Settings"
Environment,Environment
"Api Url","Api Url"
"Sandbox Api Url","Sandbox Api Url"
"Widget Url","Widget Url"
Password,Password
"Ip Address","Ip Address"
Certificate,Certificate
Key,Key
"Close Business Day Settings","Close Business Day Settings"
"Enable Cron Close","Enable Cron Close"
"Cron Schedule","Cron Schedule"
"Approved","Approved"
"Approved with identification","Approved with identification"
"Approved for partial amount","Approved for partial amount"
"Approved for VIP","Approved for VIP"
"Approved, update track 3","Approved, update track 3"
"Approved, account type specified by card issuer","Approved, account type specified by card issuer"
"Approved for partial amount, account type specified by card issuer","Approved for partial amount, account type specified by card issuer"
"Approved, update ICC","Approved, update ICC"
"Approved","Approved"
"Decline","Decline"
"Decline, expired card","Decline, expired card"
"Decline, suspected fraud","Decline, suspected fraud"
"Decline, card acceptor contact acquirer","Decline, card acceptor contact acquirer"
"Decline, restricted card","Decline, restricted card"
"Decline, card acceptor call acquirer's security department","Decline, card acceptor call acquirer's security department"
"Decline, allowable PIN tries exceeded","Decline, allowable PIN tries exceeded"
"Decline, refer to card issuer","Decline, refer to card issuer"
"Decline, refer to card issuer's special conditions","Decline, refer to card issuer's special conditions"
"Decline, invalid merchant","Decline, invalid merchant"
"Decline, invalid amount","Decline, invalid amount"
"Decline, invalid card number","Decline, invalid card number"
"Decline, PIN data required","Decline, PIN data required"
"Decline, unacceptable fee","Decline, unacceptable fee"
"Decline, no account of type requested","Decline, no account of type requested"
"Decline, requested function not supported","Decline, requested function not supported"
"Decline, not sufficient funds","Decline, not sufficient funds"
"Decline, incorrect PIN","Decline, incorrect PIN"
"Decline, no card record","Decline, no card record"
"Decline, transaction not permitted to cardholder","Decline, transaction not permitted to cardholder"
"Decline, transaction not permitted to terminal","Decline, transaction not permitted to terminal"
"Decline, exceeds withdrawal amount limit","Decline, exceeds withdrawal amount limit"
"Decline, security violation","Decline, security violation"
"Decline, exceeds withdrawal frequency limit","Decline, exceeds withdrawal frequency limit"
"Decline, violation of law","Decline, violation of law"
"Decline, card not effective","Decline, card not effective"
"Decline, invalid PIN block","Decline, invalid PIN block"
"Decline, PIN length error","Decline, PIN length error"
"Decline, PIN kay synch error","Decline, PIN kay synch error"
"Decline, suspected counterfeit card","Decline, suspected counterfeit card"
"Decline, by cardholders wish","Decline, by cardholders wish"
"Decline, Card is not active","Decline, Card is not active"
"Pick-up (general, no comments)","Pick-up (general, no comments)"
"Pick-up, expired card","Pick-up, expired card"
"Pick-up, suspected fraud","Pick-up, suspected fraud"
"Pick-up, card acceptor contact card acquirer","Pick-up, card acceptor contact card acquirer"
"Pick-up, restricted card","Pick-up, restricted card"
"Pick-up, card acceptor call acquirer's security department","Pick-up, card acceptor call acquirer's security department"
"Pick-up, allowable PIN tries exceeded","Pick-up, allowable PIN tries exceeded"
"Pick-up, special conditions","Pick-up, special conditions"
"Pick-up, lost card","Pick-up, lost card"
"Pick-up, stolen card","Pick-up, stolen card"
"Pick-up, suspected counterfeit card","Pick-up, suspected counterfeit card"
"File action successful","File action successful"
"File action not supported by receiver","File action not supported by receiver"
"Unable to locate record on file","Unable to locate record on file"
"Duplicate record, old record replaced","Duplicate record, old record replaced"
"File record field edit error","File record field edit error"
"File locked out","File locked out"
"File action not successful","File action not successful"
"File data format error","File data format error"
"Duplicate record, new record rejected","Duplicate record, new record rejected"
"Unknown file","Unknown file"
"Accepted (for reversal)","Accepted (for reversal)"
"Approved (for reversals), no original message data","Approved (for reversals), no original message data"
"Status message: reconciled, in balance","Status message: reconciled, in balance"
"Status message: reconciled, out of balance","Status message: reconciled, out of balance"
"Status message: amount not reconciled, totals provided","Status message: amount not reconciled, totals provided"
"Status message: totals for reconciliation not available","Status message: totals for reconciliation not available"
"Status message: not reconciled, totals provided","Status message: not reconciled, totals provided"
"Accepted","Accepted"
"Status message: impossible to trace back original transaction","Status message: impossible to trace back original transaction"
"Status message: invalid transaction reference number","Status message: invalid transaction reference number"
"Status message: reference number/PAN incompatible","Status message: reference number/PAN incompatible"
"Status message: POS photograph is not available","Status message: POS photograph is not available"
"Status message: requested item supplied","Status message: requested item supplied"
"Status message: request cannot be fulfilled - required documentation is not available","Status message: request cannot be fulfilled - required documentation is not available"
"List ready","List ready"
"List not ready","List not ready"
"Accepted (for fee collection)","Accepted (for fee collection)"
"Accepted (for network management)","Accepted (for network management)"
"Advice acknowledged, no financial liability accepted","Advice acknowledged, no financial liability accepted"
"Advice acknowledged, financial liability accepted","Advice acknowledged, financial liability accepted"
"Decline reason message: invalid transaction","Decline reason message: invalid transaction"
"Status message: re-enter transaction","Status message: re-enter transaction"
"Decline reason message: format error","Decline reason message: format error"
"Decline reason message: acqiurer not supported by switch","Decline reason message: acqiurer not supported by switch"
"Decline reason message: cutover in process","Decline reason message: cutover in process"
"Decline reason message: card issuer or switch inoperative","Decline reason message: card issuer or switch inoperative"
"Decline reason message: transaction destination cannot be found for routing","Decline reason message: transaction destination cannot be found for routing"
"Decline reason message: system malfunction","Decline reason message: system malfunction"
"Decline reason message: card issuer signed off","Decline reason message: card issuer signed off"
"Decline reason message: card issuer timed out","Decline reason message: card issuer timed out"
"Decline reason message: card issuer unavailable","Decline reason message: card issuer unavailable"
"Decline reason message: duplicate transmission","Decline reason message: duplicate transmission"
"Decline reason message: not able to trace back to original transaction","Decline reason message: not able to trace back to original transaction"
"Decline reason message: reconciliation cutover or checkpoint error","Decline reason message: reconciliation cutover or checkpoint error"
"Decline reason message: MAC incorrect","Decline reason message: MAC incorrect"
"Decline reason message: MAC key sync error","Decline reason message: MAC key sync error"
"Decline reason message: no communication keys available for use","Decline reason message: no communication keys available for use"
"Decline reason message: encryption key sync error","Decline reason message: encryption key sync error"
"Decline reason message: security software/hardware error - try again","Decline reason message: security software/hardware error - try again"
"Decline reason message: security software/hardware error - no action","Decline reason message: security software/hardware error - no action"
"Decline reason message: message number out of sequence","Decline reason message: message number out of sequence"
"Status message: request in progress","Status message: request in progress"
"Decline reason message: violation of business arrangement","Decline reason message: violation of business arrangement"
"Approved","Approved"
"Tried to go Online, not succeed, Approved in Offline","Tried to go Online, not succeed, Approved in Offline"
"Allowed Ip Addresses","Allowed Ip Addresses"
"Each address should be start from new line","Each address should be start from new line"
